answer,type,context,question,qwen
Yeast can no longer survive when the alcohol concentration exceeds 12% by volume.,factual,"The alcohol in beer comes primarily from the metabolism of sugars that are produced during fermentation. The quantity of fermentable sugars in the wort and the variety of yeast used to ferment the wort are the primary factors that determine the amount of alcohol in the final beer. Additional fermentable sugars are sometimes added to increase alcohol content, and enzymes are often added to the wort for certain styles of beer (primarily ""light"" beers) to convert more complex carbohydrates (starches) to fermentable sugars. Alcohol is a by-product of yeast metabolism and is toxic to the yeast; typical brewing yeast cannot survive at alcohol concentrations above 12% by volume. Low temperatures and too little fermentation time decreases the effectiveness of yeasts and consequently decreases the alcohol content.",At what concentration can yeast no longer survive in alcohol?,"The concentration at which yeast cannot survive in alcohol is **12% by volume**. This is determined by the context, which explicitly states that yeast cannot survive above this threshold."
Season seven did not have a group round in Hollywood.,factual,"Once in Hollywood, the contestants perform individually or in groups in a series of rounds. Until season ten, there were usually three rounds of eliminations in Hollywood. In the first round the contestants emerged in groups but performed individually. For the next round, the contestants put themselves in small groups and perform a song together. In the final round, the contestants perform solo with a song of their choice a cappella or accompanied by a band‍—‌depending on the season. In seasons two and three, contestants were also asked to write original lyrics or melody in an additional round after the first round. In season seven, the group round was eliminated and contestants may, after a first solo performance and on judges approval, skip a second solo round and move directly to the final Hollywood round. In season twelve, the executive producers split up the females and males and chose the members to form the groups in the group round.",Which season did not have a group round in Hollywood?,The season that did not have a group round in Hollywood is **Season 7**.
The English took control of New Amsterdam in the year 1664.,factual,"In 1664, Peter Stuyvesant, the Director-General of the colony of New Netherland, surrendered New Amsterdam to the English without bloodshed. The English promptly renamed the fledgling city ""New York"" after the Duke of York (later King James II).",In what year did the English take over New Amsterdam?,The English took over New Amsterdam in 1664.
There are three possible outcomes of a direct review in a capital sentencing case.,irrelevant,"As a result of the three Carnatic Wars, the British East India Company gained exclusive control over the entire Carnatic region of India. The Company soon expanded its territories around its bases in Bombay and Madras; the Anglo-Mysore Wars (1766–1799) and later the Anglo-Maratha Wars (1772–1818) led to control of the vast regions of India. Ahom Kingdom of North-east India first fell to Burmese invasion and then to British after Treaty of Yandabo in 1826. Punjab, North-West Frontier Province, and Kashmir were annexed after the Second Anglo-Sikh War in 1849; however, Kashmir was immediately sold under the Treaty of Amritsar to the Dogra Dynasty of Jammu and thereby became a princely state. The border dispute between Nepal and British India, which sharpened after 1801, had caused the Anglo-Nepalese War of 1814–16 and brought the defeated Gurkhas under British influence. In 1854, Berar was annexed, and the state of Oudh was added two years later.",To what dynasty was Kashmir sold in 1849?,The Kashmir was immediately sold under the Treaty of Amritsar to the **Dogra Dynasty** of Jammu.
Vulgar Latin would eventually differ from Classical Latin in terms of pronunciation.,factual,"The native language of the Romans was Latin. Although surviving Latin literature consists almost entirely of Classical Latin, an artificial and highly stylised and polished literary language from the 1st century BC, the actual spoken language was Vulgar Latin, which significantly differed from Classical Latin in grammar, vocabulary, and eventually pronunciation. Rome's expansion spread Latin throughout Europe, and over time Vulgar Latin evolved and dialectised in different locations, gradually shifting into a number of distinct Romance languages. Many of these languages, including French, Italian, Portuguese, Romanian and Spanish, flourished, the differences between them growing greater over time. Although English is Germanic rather than Roman in origin, English borrows heavily from Latin and Latin-derived words.[citation needed]",How would Vulgar Latin eventually differ from Classical Latin?,"Vulgar Latin differed from Classical Latin in grammar, vocabulary, and pronunciation. Over time, Rome's expansion led to dialectical evolution, shaping Romance languages such as French, Italian, Portuguese, Romanian, and Spanish. While English is Germanic, it heavily borrows Latin-derived words."
"In addition to law students, history students also frequently study Dutch as part of their curriculum.",factual,"Despite the Dutch presence in Indonesia for almost 350 years, as the Asian bulk of the Dutch East Indies, the Dutch language has no official status there and the small minority that can speak the language fluently are either educated members of the oldest generation, or employed in the legal profession, as some legal codes are still only available in Dutch. Dutch is taught in various educational centres in Indonesia, the most important of which is the Erasmus Language Centre (ETC) in Jakarta. Each year, some 1,500 to 2,000 students take Dutch courses there. In total, several thousand Indonesians study Dutch as a foreign language. Owing to centuries of Dutch rule in Indonesia, many old documents are written in Dutch. Many universities therefore include Dutch as a source language, mainly for law and history students. In Indonesia this involves about 35,000 students.","In addition to students pursuing law degrees, what other course of study often includes Dutch?","In addition to students pursuing law degrees, Dutch is often included in other course studies, such as law and history, as universities incorporate it as a source language for these fields."
"Chopin tended to avoid strict, inflexible procedures in his performances.",factual,"Jonathan Bellman writes that modern concert performance style—set in the ""conservatory"" tradition of late 19th- and 20th-century music schools, and suitable for large auditoria or recordings—militates against what is known of Chopin's more intimate performance technique. The composer himself said to a pupil that ""concerts are never real music, you have to give up the idea of hearing in them all the most beautiful things of art."" Contemporary accounts indicate that in performance, Chopin avoided rigid procedures sometimes incorrectly attributed to him, such as ""always crescendo to a high note"", but that he was concerned with expressive phrasing, rhythmic consistency and sensitive colouring. Berlioz wrote in 1853 that Chopin ""has created a kind of chromatic embroidery ... whose effect is so strange and piquant as to be impossible to describe ... virtually nobody but Chopin himself can play this music and give it this unusual turn"". Hiller wrote that ""What in the hands of others was elegant embellishment, in his hands became a colourful wreath of flowers.""",What did Chopin tend to avoid?,"Chopin tended to avoid rigid procedures such as ""always crescendo to a high note."" Instead, he focused on expressive phrasing, rhythmic consistency, and sensitive coloring."
West Berlin was under the sovereignty of the Western Allies.,factual,"Upon its founding in 1949, West Germany had eleven states. These were reduced to nine in 1952 when three south-western states (South Baden, Württemberg-Hohenzollern, and Württemberg-Baden) merged to form Baden-Württemberg. From 1957, when the French-occupied Saar Protectorate was returned and formed into the Saarland, the Federal Republic consisted of ten states, which are referred to as the ""Old States"" today. West Berlin was under the sovereignty of the Western Allies and neither a Western German state nor part of one. However, it was in many ways de facto integrated with West Germany under a special status.",What was West Berlin under the sovereignty of?,"West Berlin was under the sovereignty of the Western Allies. The context states that it was part of the Western Allies, neither being a Western German state nor part of one."
"Philadelphia served as the temporary capital of the United States while Washington, D.C. was being constructed.",factual,"In 1682, William Penn founded the city to serve as capital of the Pennsylvania Colony. Philadelphia played an instrumental role in the American Revolution as a meeting place for the Founding Fathers of the United States, who signed the Declaration of Independence in 1776 and the Constitution in 1787. Philadelphia was one of the nation's capitals in the Revolutionary War, and served as temporary U.S. capital while Washington, D.C., was under construction. In the 19th century, Philadelphia became a major industrial center and railroad hub that grew from an influx of European immigrants. It became a prime destination for African-Americans in the Great Migration and surpassed two million occupants by 1950.",What purpose did Philadelphia serve while D.C. was under construction?,"Philadelphia served as the U.S. capital during the construction of Washington, D.C."
"In the 1930s, Britain shifted its stance to become more pro-Arab, which came at the expense of the Jewish population.",factual,"In 1922, Egypt, which had been declared a British protectorate at the outbreak of the First World War, was granted formal independence, though it continued to be a British client state until 1954. British troops remained stationed in Egypt until the signing of the Anglo-Egyptian Treaty in 1936, under which it was agreed that the troops would withdraw but continue to occupy and defend the Suez Canal zone. In return, Egypt was assisted to join the League of Nations. Iraq, a British mandate since 1920, also gained membership of the League in its own right after achieving independence from Britain in 1932. In Palestine, Britain was presented with the problem of mediating between the Arab and Jewish communities. The 1917 Balfour Declaration, which had been incorporated into the terms of the mandate, stated that a national home for the Jewish people would be established in Palestine, and Jewish immigration allowed up to a limit that would be determined by the mandatory power. This led to increasing conflict with the Arab population, who openly revolted in 1936. As the threat of war with Germany increased during the 1930s, Britain judged the support of the Arab population in the Middle East as more important than the establishment of a Jewish homeland, and shifted to a pro-Arab stance, limiting Jewish immigration and in turn triggering a Jewish insurgency.",Britain became more pro-Arab in the 1930s at the expense of which race?,"The answer is the Arab race. Britain shifted its pro-Arab stance in the 1930s, limiting Jewish immigration and triggering Jewish insurgences."
