answer,type,context,question,qwen
"According to Diane McWhorter, every child in the South had to confront the stark reality of inequality.",factual,"Diane McWhorter, Pulitzer Prize-winning historian of the Birmingham civil rights campaign, asserts that To Kill a Mockingbird condemns racism instead of racists, and states that every child in the South has moments of racial cognitive dissonance when they are faced with the harsh reality of inequality. This feeling causes them to question the beliefs with which they have been raised, which for many children is what the novel does. McWhorter writes of Lee, ""for a white person from the South to write a book like this in the late 1950s is really unusual—by its very existence an act of protest.""[note 4] Author James McBride calls Lee brilliant but stops short of calling her brave: ""I think by calling Harper Lee brave you kind of absolve yourself of your own racism ... She certainly set the standards in terms of how these issues need to be discussed, but in many ways I feel ... the moral bar's been lowered. And that's really distressing. We need a thousand Atticus Finches."" McBride, however, defends the book's sentimentality, and the way Lee approaches the story with ""honesty and integrity"".","According to Diane McWhorter, every child in the South had to face what?","According to Diane McWhorter, every child in the South had to face **racial cognitive dissonance** when confronted with the harsh realities of inequality. This dissonance caused them to question the beliefs they had been raised with, which the novel explicitly addresses."
500,contradiction,"Strong aftershocks continued to strike even months after the main quake. On May 25, an aftershock of 6.0 Mw (6.4 Ms according to CEA) hit northeast of the original earthquake's epicenter, in Qingchuan County, Sichuan, causing eight deaths, 1000 injuries, and destroying thousands of buildings. On May 27, two aftershocks, one 5.2 Mw in Qingchuan County and one 5.7 Mw in Ningqiang County, Shaanxi, led to the collapse of more than 420,000 homes and injured 63 people. The same area suffered two more aftershocks of 5.6 and 6.0 Ms (5.8 and 5.5 Mw, respectively, according to USGS) on July 23, resulting in 1 death, 6 serious injuries, collapse of hundreds of homes and damaging kilometers of highways. Pingwu County and Beichuan County, Sichuan, also northeast of Wenchuan and close to the epicenter of a 7.2 Ms earthquake in 1976, suffered a 6.1 Ms aftershock (5.7 Mw according to USGS) on August 1; it caused 2 deaths, 345 injuries, collapse of 707 homes, damages to over 1,000 homes, and blocked 25 kilometres (16 mi) of country roads. As late as August 5, yet another aftershock of 6.1 Ms (6.2 Mw according to USGS) hit Qingchuan, Sichuan, causing 1 death, 32 injuries, telecommunication interruptions, and widespread hill slides blocking roads in the area including a national highway.",How many people were injured in the May 25 aftershock?,"8 deaths, 1000 injuries."
"The bison were killed primarily for their hides, which were in high demand.",factual,"The American bison is a large bovid which inhabited much of western North America prior to the 1800s, living on the prairies in large herds. However, the vast herds of bison attracted market hunters, who killed dozens of bison for their hides only, leaving the rest to rot. Thousands of these hunters quickly eliminated the bison herds, bringing the population from several million in the early 1800s to a few hundred by the 1880s. Conservation efforts have allowed the population to increase, but the bison remains near-threatened.",Why were the bison killed?,"The bison were killed primarily by market hunters who targeted them for their hides, not for the animals themselves. This practice led to the destruction of large herds, with thousands eliminating the population from several million to a few hundred by the 1880s. The remaining bison were left to rot, and conservation efforts have since been introduced to manage the species' recovery, though they remain near-threatened."
"Tremont Street is named after the original hill in Boston known as the ""Trimountain"".",factual,"More than two-thirds of inner Boston's modern land area did not exist when the city was founded, but was created via the gradual filling in of the surrounding tidal areas over the centuries, notably with earth from the leveling or lowering of Boston's three original hills (the ""Trimountain"", after which Tremont Street is named), and with gravel brought by train from Needham to fill the Back Bay. Downtown and its immediate surroundings consists largely of low-rise (often Federal style and Greek Revival) masonry buildings, interspersed with modern highrises, notably in the Financial District, Government Center, and South Boston. Back Bay includes many prominent landmarks, such as the Boston Public Library, Christian Science Center, Copley Square, Newbury Street, and New England's two tallest buildings—the John Hancock Tower and the Prudential Center. Near the John Hancock Tower is the old John Hancock Building with its prominent illuminated beacon, the color of which forecasts the weather. Smaller commercial areas are interspersed among areas of single-family homes and wooden/brick multi-family row houses. The South End Historic District is the largest surviving contiguous Victorian-era neighborhood in the US. The geography of downtown and South Boston was particularly impacted by the Central Artery/Tunnel Project (known unofficially as the ""Big Dig""), which allowed for the removal of the unsightly elevated Central Artery and the incorporation of new green spaces and open areas.",Tremont Street is named after what original hill in Boston?,"The original hill in Boston named after Tremont Street is the ""Trimountain."""
Avicenna achieved full status as a qualified physician at the age of 18.,factual,"He turned to medicine at 16, and not only learned medical theory, but also by gratuitous attendance of the sick had, according to his own account, discovered new methods of treatment. The teenager achieved full status as a qualified physician at age 18, and found that ""Medicine is no hard and thorny science, like mathematics and metaphysics, so I soon made great progress; I became an excellent doctor and began to treat patients, using approved remedies."" The youthful physician's fame spread quickly, and he treated many patients without asking for payment.",Avicenna became a qualified physician at what age?,Avicenna became a qualified physician at age 18.
Alexander Pushkin was the one who revolutionized modern Russian literature.,factual,"The modern literary language is usually considered to date from the time of Alexander Pushkin (Алекса́ндр Пу́шкин) in the first third of the 19th century. Pushkin revolutionized Russian literature by rejecting archaic grammar and vocabulary (so-called ""высо́кий стиль"" — ""high style"") in favor of grammar and vocabulary found in the spoken language of the time. Even modern readers of younger age may only experience slight difficulties understanding some words in Pushkin's texts, since relatively few words used by Pushkin have become archaic or changed meaning. In fact, many expressions used by Russian writers of the early 19th century, in particular Pushkin, Mikhail Lermontov (Михаи́л Ле́рмонтов), Nikolai Gogol (Никола́й Го́голь), Aleksander Griboyedov (Алекса́ндр Грибое́дов), became proverbs or sayings which can be frequently found even in modern Russian colloquial speech.",Who revolutionized modern Russian?,"Alexander Pushkin revolutionized modern Russian literature by rejecting archaic grammar and vocabulary, which became the foundation for the modern literary language. His work, especially the ""высо́кий стиль"" (high style), influenced the development of modern Russian prose and continues to shape its colloquial expressions as proverbs and sayings."
Athanasius was found guilty of the accusations against him.,factual,"Athanasius's first problem lay with Meletius of Lycopolis and his followers, who had failed to abide by the First Council of Nicaea. That council also anathematized Arius. Accused of mistreating Arians and Meletians, Athanasius answered those charges at a gathering of bishops in Tyre, the First Synod of Tyre, in 335. There, Eusebius of Nicomedia and other supporters of Arius deposed Athanasius. On 6 November, both sides of the dispute met with Emperor Constantine I in Constantinople. At that meeting, the Arians claimed Athanasius would try to cut off essential Egyptian grain supplies to Constantinople. He was found guilty, and sent into exile to Augusta Treverorum in Gaul (now Trier in Germany).",What was the verdict of the accusation?,"Athanasius was found guilty of the accusation and sent into exile to Augusta Treverorum (now Trier, Germany) in 335."
The Tour de France takes place in July.,factual,"Paris is home to the association football club Paris Saint-Germain and the rugby union club Stade Français. The 80,000-seat Stade de France, built for the 1998 FIFA World Cup, is located just north of Paris in the commune of Saint-Denis. Paris hosts the annual French Open Grand Slam tennis tournament on the red clay of Roland Garros. Paris played host to the 1900 and 1924 Summer Olympics, the 1938 and 1998 FIFA World Cups, and the 2007 Rugby World Cup. Every July, the Tour de France of cycling finishes in the city.",In what month is the Tour de France?,The Tour de France is held in **July**.
The glass-forming ability of a material can be predicted by the rigidity theory.,factual,"In physics, the standard definition of a glass (or vitreous solid) is a solid formed by rapid melt quenching. The term glass is often used to describe any amorphous solid that exhibits a glass transition temperature Tg. If the cooling is sufficiently rapid (relative to the characteristic crystallization time) then crystallization is prevented and instead the disordered atomic configuration of the supercooled liquid is frozen into the solid state at Tg. The tendency for a material to form a glass while quenched is called glass-forming ability. This ability can be predicted by the rigidity theory. Generally, the structure of a glass exists in a metastable state with respect to its crystalline form, although in certain circumstances, for example in atactic polymers, there is no crystalline analogue of the amorphous phase.",What predicts glass-forming ability?,The tendency for a material to form a glass while quenched is predicted by the rigidity theory.
"Early Greek, prior to the Koine period, has been reconstructed with aspirated stops.",factual,"Some forms of Greek before the Koine Greek period are reconstructed as having aspirated stops. The Classical Attic dialect of Ancient Greek had a three-way distinction in stops like Eastern Armenian: /t tʰ d/. These stops were called ψιλά, δασέα, μέσα ""thin, thick, middle"" by Koine Greek grammarians.",Early Greek (before Koine) have been redone with what?,"The early Greek (before Koine) had forms reconstructed with aspirated stops, which were called ψιλά, δασέα, and μέσα by Koine Greek grammarians."
Tuvalu's total land area is approximately 26 square kilometers.,factual,"Tuvalu consists of three reef islands and six true atolls. Its small, scattered group of atolls have poor soil and a total land area of only about 26 square kilometres (10 square miles) making it the fourth smallest country in the world. The islets that form the atolls are very low lying. Nanumanga, Niutao, Niulakita are reef islands and the six true atolls are Funafuti, Nanumea, Nui, Nukufetau, Nukulaelae and Vaitupu. Tuvalu's Exclusive Economic Zone (EEZ) covers an oceanic area of approximately 900,000 km2.",What is the total land area of Tuvalu?,The total land area of Tuvalu is approximately 26 square kilometers (10 square miles).
"In 2007, the Open Mobile Terminal Platform, a cellular phone carrier group, endorsed micro-USB as the standard connector for data and power on mobile devices.",factual,,In 2007 who endorsed micro-USB as the standard connector for data and power on mobile devices?,"In 2007, **Apple and Samsung** endorsed micro-USB as the standard connector for mobile devices. This transition was achieved in 2007, marking the adoption of micro-USB by major mobile device manufacturers."
People have reported zinc intoxication due to the ingestion of coins made primarily of zinc.,factual,"In 1982, the US Mint began minting pennies coated in copper but made primarily of zinc. With the new zinc pennies, there is the potential for zinc toxicosis, which can be fatal. One reported case of chronic ingestion of 425 pennies (over 1 kg of zinc) resulted in death due to gastrointestinal bacterial and fungal sepsis, whereas another patient, who ingested 12 grams of zinc, only showed lethargy and ataxia (gross lack of coordination of muscle movements). Several other cases have been reported of humans suffering zinc intoxication by the ingestion of zinc coins.",Why have people reported zinc intoxication?,"People report zinc intoxication due to the potential for zinc toxicity from ingesting zinc pennies minted in 1982, which was initially designed primarily of zinc. This led to cases where individuals, especially those consuming large quantities, experienced fatal gastrointestinal infections or other health issues, such as sepsis and ataxia."
