answer,type,context,question,model_context
"Some people living in the Marshall Islands come from the United States, which is a non-Asian nation.",factual,,From what non-Asian nation do some people living in the Marshall Islands come?,"While the majority of residents are Marshallese, several non-Asian nations are origins for people living in the Marshall Islands:"
"The Dolby Theatre can accommodate approximately 3,400 audience members.",factual,,How many audience members can fit in Dolby Theatre?,"The Dolby Theatre in Hollywood has a standard seating capacity of 3,400 people."
The Convention on Biological Diversity is the agreement that commits countries to developing resources for sustainability.,factual,,What agreement commits countries to develop resources for sustainability?,"The most prominent international agreement committing countries to develop resources for sustainability is the Paris Agreement, adopted in 2015. It serves as a legally binding treaty designed to address climate change by limiting global warming and fostering sustainable development."
"In 2006, the population of Tucson was 535,000.",factual,,What was the population of Tuscon in 2006?,"The population of Tucson in 2006 was an estimated 515,524 people, according to data based on U.S. Census Bureau estimates."
"Steven Spielberg produced several popular Warner Bros. cartoons, including Tiny Toon Adventures, Animaniacs, Pinky and the Brain, Toonsylvania, and Freakazoid!",factual,,Which Warner Bros. cartoons did Spielberg produce?,"In collaboration with Warner Bros. Animation, Steven Spielberg served as an executive producer for several iconic animated series through his production company, Amblin Entertainment. His involvement was so central to these projects that they were officially titled ""Steven Spielberg Presents...""."
Raleigh is one of the fastest-growing communities in the United States by the early 21st century.,factual,,What type of community is it?,"Communities can be categorized by their purpose, geography, or the nature of their social bonds. The following are the most common ways to classify a community as of 2026:"
New York City is known as the Capital of Baseball.,factual,,NYC is known as the Capital of which sport?,"New York City is most famously known as the ""Capital of Baseball""."
"News, universities, libraries, and archives are all examples of aggregators.",factual,,"News, universities and libraries and archives are examples of what?","News organizations, universities, libraries, and archives are all examples of institutions that serve as sources of public information, education, and cultural preservation."
The letter case is often determined by the grammar of a language or the conventions of a specific discipline.,factual,,What is often prescribed by the grammar of a language or by conventions of a particular discipline?,"In both language and specialized fields, specific rules and norms—often referred to as prescriptive grammar or conventions—govern how information is presented to ensure clarity and professional standards."
"The most speakers are found in the Central Catalan dialect region, which includes the densely populated areas of the Barcelona province, the eastern half of the province of Tarragona, and most of the province of Girona.",factual,,Where are the most speakers found?,"Depending on how you count (total speakers vs. native-only), the largest concentrations of speakers are found in the following regions:"
The target year for increasing the share of renewable energy in the EU by 20 percent was 2020.,factual,,The goal was to increase the share of renewable energy in the EU by 20 percent in what year?,The goal to increase the share of renewable energy in the European Union to 20% was set for the year 2020.
Mauron means black.,factual,,What does mauron mean?,"The term Mauron can refer to a geographical location, a name, or a specialized philosophical concept. If you intended a different spelling, such as moron or marrón, those meanings are also provided below."
The Vice Minister of Health described the public health system in China as inadequate.,factual,,What did the Vice Minster of Health call the public health system in China?,"In recent statements from 2025 and 2026, Chinese health officials have used specific descriptors for the nation's public health and medical infrastructure:"
Both China National Petroleum and Sinopec donated 10 million yuan each to the disaster area.,factual,,How much did China National Petroleum and Sinopec donate?,"Both China National Petroleum Corporation (CNPC) and Sinopec engage in various philanthropic activities and have made numerous donations, with publicly reported amounts varying depending on the specific initiative and year."
One significant challenge when examining various cultures is translation.,factual,,What is a major hurdle when studying different cultures?,"A primary hurdle when studying different cultures is ethnocentrism, the tendency to view and judge other cultures through the lens of your own. This bias can lead to significant misinterpretations of data, behaviors, and social norms."
"The largest mass execution in American history occurred on December 26, 1862.",factual,,On what date did the largest mass execution in American history take place?,"The largest mass execution in American history took place on December 26, 1862."
The Tomb of the Julii is located near the crypt beneath St. Peter's Basilica.,factual,,In which basilica is the Tomb of Julii?,"The Tomb of the Julii (also known as Mausoleum ""M"") is located in the Vatican Necropolis, an ancient Roman burial ground situated directly beneath St. Peter's Basilica in Vatican City."
"During the early Heian period, it was the shōen that gained legal status.",factual,,What type of property obtained legal status during the early Heian period?,"In the early Heian period, shōen (private agricultural estates) obtained formal legal status."
Many of the finest restaurants on the island are situated within hotels.,factual,,Where are most of the nice restaurants located?,"High-end and ""nice"" restaurants are typically concentrated in prestigious central districts, historic neighborhoods undergoing revitalization, and upscale commercial hubs."
"The Voskhod 2 spacecraft, carrying two cosmonauts, was launched on March 18, 1965.",factual,,The Voskhod 2 carrying two humans was launched on what date?,"The Voskhod 2 spacecraft, carrying cosmonauts Pavel Belyayev and Alexei Leonov, was launched on March 18, 1965."
The first Islamic opaque glazes were developed around the 8th century.,factual,,Around when were the first opaque glazes developed?,"The first true opaque glazes were developed in the 8th century AD. This technological breakthrough occurred in the Islamic world, specifically in Egypt and the Levant, where potters began using tin-based compounds to create a white, glass-like surface."
The safe harbor for using a patented invention for research generally does not exist in the United States.,factual,,Where does the safe harbor to use a patented invention for research generally not exist?,"In the United States, the ""safe harbor"" provision (35 U.S.C. § 271(e)(1)) and the common law experimental use exception generally do not exist in the following circumstances:"
London's West End is home to 40 theaters.,factual,,How many theaters does London's West End have?,"London's West End has 39 official theatres, though the total number of venues often cited can be around 40 or more depending on the definition of the area and whether non-commercial spaces are included. The official count generally refers to commercial theatres within the ""Theatreland"" area that are members of the Society of London Theatre (SOLT)."
The name John had not been chosen for over 500 years prior to Roncalli's selection of it as his regnal name.,factual,,John had not been a chosen name in how long?,"In the United States, John has not been the most chosen baby name in 102 years, having last held the #1 spot in 1923."
The start of the AFL season was moved to February after the TV deal with NBC.,factual,,"After the TV deal, when was the start of the AFL season moved to?","The start of the original American Football League (AFL) season was not moved after a TV deal; rather, the league began play in September 1960, supported by its first TV contract with ABC. A subsequent, more lucrative TV deal with NBC starting in the 1965 season solidified the league's financial position, which ultimately led to the AFL-NFL merger."
"After Attila's death, the Huns either fled to Asia or assimilated into the European population.",factual,,What happened to the Huns after Attila's death?,"After Attila's sudden death in 453 AD, the Hunnic Empire—which was held together primarily by his personal prestige and military force—rapidly disintegrated due to internal power struggles and revolts by subject peoples."
The two princesses resided at Windsor Castle for the majority of the war.,factual,,Where did the two princesses live for most of the war?,Princess Elizabeth and Princess Margaret lived at Windsor Castle for most of World War II.
"In 1938, the Home Secretary was Samuel Hoare.",factual,,Who was Home Secretary in 1938?,"In 1938, the Home Secretary (officially the Secretary of State for the Home Department) was Sir Samuel Hoare, 2nd Baronet."
The molten steel was supposed to cool for an additional one hour when the computer mix-up occurred at the German steel facility.,factual,,For how much more time was the molten steel supposed to cool when the computer mix-up happened in the German steel facility?,"In the 2014 cyberattack on an undisclosed German steel facility, the computer ""mix-up"" (a sophisticated phishing and malware infiltration) prevented a blast furnace from being shut down in a controlled manner."
Thomas Gilbert was the notable individual who accompanied John Charles Marshall on his visit to the Marshall Islands in 1788.,factual,,Who notably accompanied John Charles Marshall to the Marshall Islands?,Captain John Marshall (often cited in full as John Charles Marshall) was notably accompanied by Captain Thomas Gilbert during his 1788 voyage through the Marshall Islands.
DNA transposons do not utilize RNA as the genetic material that is employed by Class 1 TEs.,factual,,DNA transposons do not use which genetic material used by Class 1 TEs?,"DNA transposons (Class 2 TEs) do not use an RNA intermediate for transposition, a key genetic material required by Class 1 transposable elements (retrotransposons)."
DRM was completely eliminated from the iTunes offerings in the year 2009.,factual,,In what year was DRM completely eliminated from the iTunes offerings?,Apple completely eliminated Digital Rights Management (DRM) from its entire music catalog in 2009.
"As a result of his stroke, Eisenhower was unable to move his right hand.",factual,,What couldn't Eisenhower move as a result of his stroke?,"After his stroke on November 25, 1957, President Dwight D. Eisenhower temporarily could not move his hand."
The Klondike Gold Rush was the golden event for which Seattle served as the gateway.,factual,,To what golden event was Seattle the portal?,"Seattle was the portal for the Klondike Gold Rush of the late 1890s. The city aggressively marketed itself as the ""Gateway to the Gold Fields"" and the essential place for prospectors to buy a ""ton of goods"" in supplies before making the arduous journey north to the Yukon Territory in Canada."
The gymnast is the one who chooses their starting position on the runway.,factual,,Who gets to chose where a gymnast starts to run on the runway?,"In competitive gymnastics, the gymnast ultimately chooses their starting position on the vault runway. This choice is a precise, technical decision made in coordination with their coach to ensure maximum power and proper timing."
"Primary school in Switzerland continues until either grade four, five, or six, depending on the specific school.",factual,,How long does primary school continue?,"The duration of primary school varies by country and educational system, typically spanning about 6 years but sometimes extending up to 9 years."
"Both adolescents and adults weigh the potential rewards and consequences of an action, according to the behavioral decision-making theory.",factual,,"Do adolescents, adults, or both weight the potential rewards and consequences of an action?","Both adolescents and adults weigh the potential rewards and consequences of an action; however, they prioritize these factors differently due to distinct stages of brain development."
The Jewish inhabitants fought alongside the Fatimid garrison.,factual,,Who did the Jewish inhabitants fight side by side with?,"Throughout history, Jewish inhabitants have fought alongside various groups depending on the period and conflict. Notable alliances include:"
Some types of birds are capable of detecting magnetic fields.,factual,,The group of animals that can detect magnetic fields is what?,"The scientific term for the ability to detect magnetic fields is magnetoreception. This ""sixth sense"" is remarkably widespread across the animal kingdom and is found in the following groups:"
The agreement that replaced the Congress of Vienna was the Eight-Nation Alliance.,factual,,What agreement replaced the Congress of Vienna?,"The Congress of Vienna (1815) did not have a single, immediate successor treaty. Instead, it established a long-term diplomatic framework that evolved through several key agreements and systems:"
Complex and intricate regulations tend to worsen corruption issues related to public spending.,factual,,What type of regulations make corruption worse for public spending?,"In 2026, research and policy analysis identify several regulatory frameworks and practices that actively worsen corruption in public spending:"
"A fully awakened being who has purified their mind of the three poisons of desire, aversion, and ignorance is known as a Buddha.",factual,,"Who is a fully awakened being who has purified his mind of the three poisons of desire, aversion, and ignorance?","In Buddhism, the term for a fully awakened being who has purified his mind of the ""three poisons"" is a Buddha."
The isotopes with unstable nuclei are 4H to 7H.,factual,,Which isotopes have unstable nuclei?,"Isotopes with unstable nuclei are known as radioisotopes or radioactive isotopes. These nuclei spontaneously undergo radioactive decay to reach a more stable state, emitting energy in the form of ionizing radiation (such as alpha, beta, or gamma rays) in the process."
Hinduism is the most widely practiced religion in New Delhi.,factual,,What is the most commonly practiced religion in New Delhi?,"The most commonly practiced religion in New Delhi is Hinduism, with Hindus making up over 80% of the population."
The settlement regarding GE's pollution of the Housatonic River was reached in the year 1999.,factual,,In which year was a settlement reached regarding GE's pollution of the Housatonic River?,"A settlement regarding General Electric's (GE) pollution of the Housatonic River was reached in 1998, with the final formal agreement—known as the Consent Decree—lodged in 1999 and approved by the court in 2000."
Diamond Comic Distributors partnered with Marvel in the year 1997.,factual,,What year did Diamond Comic Distributors team up with Marvel?,Diamond Comic Distributors first signed an exclusive distribution agreement with Marvel Comics in 1997.
"In Brazil, people are classified based on their physical appearance, rather than their ancestry or heredity.",factual,,How are people in Brazil classified?,"In Brazil, people are primarily classified through two distinct systems: an official census-based model focused on ""color or race"" and a socio-economic system based on income."
The U.S. president who defined the new boundaries of Armenia was Woodrow Wilson.,factual,,Which US president specified the new Armenian borders?,President Woodrow Wilson specified the borders of Armenia in 1920 through a process known as the Arbitral Award of President Woodrow Wilson.
Prince Albert's death occurred on December 14th.,factual,,What month and day was the death of Prince Albert?,"Prince Albert died on December 14, 1861, at the age of 42."
The United States shared satellite images of the earthquake-affected regions with Chinese authorities.,factual,,What did the U.S. share with China?,"The U.S. and China engage in a wide variety of commercial trade, where the U.S. exports vast amounts of goods and services to China, including agricultural products and technological equipment. In terms of sensitive information or intelligence, the U.S. government is currently focused on restricting the flow of sensitive data to China, not sharing it."
The majority of U.S. law that citizens encounter in their daily lives is primarily composed of state law.,factual,,"Most U.S law, the kind of law we live everyday, consists of what kind of law?","Most U.S. law that governs everyday life consists primarily of state law. On a functional level, our legal system is categorized as a common law system, meaning it relies heavily on judicial decisions and precedent rather than just written statutes."
